date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.24,中国,海南,11,0,0,3,,,,,0,0,0,
01.25,中国,海南,20,0,0,9,,,,,9,0,0,
01.26,中国,海南,27,0,0,7,,,,,7,0,0,
01.27,中国,海南,38,0,1,11,,,,,11,1,0,
01.28,中国,海南,43,1,1,5,,,,,5,0,1,
01.29,中国,海南,46,1,1,3,,,,,3,0,0,
01.30,中国,海南,49,1,1,3,,,,,3,0,0,
01.31,中国,海南,57,1,1,8,,,,,8,0,0,
02.01,中国,海南,62,1,1,5,,,,,5,0,0,
02.02,中国,海南,69,1,4,7,,,,,7,3,0,
02.03,中国,海南,79,1,4,9,,,,,9,0,0,
02.04,中国,海南,89,1,4,10,,,,,10,0,0,
02.05,中国,海南,100,1,5,11,,,,,11,1,0,
02.06,中国,海南,106,1,8,7,,,,,7,3,0,
02.07,中国,海南,117,2,10,11,,,,,11,2,1,
02.08,中国,海南,129,2,15,12,,,,,12,5,0,
02.09,中国,海南,131,3,19,8,,,,,8,4,1,
02.10,中国,海南,142,3,19,6,,,,,6,0,0,
02.11,中国,海南,151,3,20,9,,,,,9,1,0,
02.12,中国,海南,157,4,27,6,,,,,6,7,1,
02.13,中国,海南,157,4,30,0,,,,,0,3,0,
02.14,中国,海南,162,4,38,4,,,,,4,8,0,
02.15,中国,海南,162,4,39,0,,,,,0,1,0,
02.16,中国,海南,162,4,52,0,,,,,0,13,0,
02.17,中国,海南,163,4,59,1,,,,,1,7,0,
02.18,中国,海南,163,4,79,0,,,,,0,20,0,
02.19,中国,海南,168,4,84,5,,,,,5,5,0,
02.20,中国,海南,168,4,89,0,,,,,0,5,0,
02.21,中国,海南,168,4,96,0,,,,,0,7,0,
02.22,中国,海南,168,4,104,0,,,,,0,8,0,
02.23,中国,海南,168,5,106,0,,,,,0,2,1,
02.24,中国,海南,168,5,116,0,,,,,0,10,0,
02.25,中国,海南,168,5,124,0,,,,,0,8,0,
02.26,中国,海南,168,5,129,0,,,,,0,5,0,
02.27,中国,海南,168,5,132,0,,,,,0,3,0,
02.28,中国,海南,168,5,136,0,,,,,0,4,0,
02.29,中国,海南,168,5,148,0,,,,,0,12,0,
03.01,中国,海南,168,5,151,0,,,,,0,3,0,
03.02,中国,海南,168,5,151,0,,,,,0,0,0,
03.03,中国,海南,168,5,155,0,,,,,0,4,0,
03.04,中国,海南,168,5,158,0,,,,,0,3,0,
03.05,中国,海南,168,6,158,0,,,,,0,0,1,
03.06,中国,海南,168,6,158,0,,,,,0,0,0,
03.07,中国,海南,168,6,158,0,,,,,0,0,0,
03.08,中国,海南,168,6,159,0,,,,,0,1,0,
03.09,中国,海南,168,6,159,0,,,,,0,0,0,
03.10,中国,海南,168,6,159,0,,,,,0,0,0,
03.11,中国,海南,168,6,160,0,,,,,0,1,0,
03.12,中国,海南,168,6,160,0,,,,,0,0,0,
03.13,中国,海南,168,6,160,0,,,,,0,0,0,
03.14,中国,海南,168,6,160,0,,,,,0,0,0,
03.15,中国,海南,168,6,160,0,,,,,0,0,0,
03.16,中国,海南,168,6,161,0,,,,,0,1,0,
03.17,中国,海南,168,6,161,0,,,,,0,0,0,
03.18,中国,海南,168,6,161,0,,,,,0,0,0,
03.19,中国,海南,168,6,161,0,,,,,0,0,0,
03.20,中国,海南,168,6,161,0,,,,,0,0,0,
03.21,中国,海南,168,6,161,0,,,,,0,0,0,
03.22,中国,海南,168,6,161,0,,,,,0,0,0,
03.23,中国,海南,168,6,161,0,,,,,0,0,0,
03.24,中国,海南,168,6,162,0,,,,,0,1,0,
03.25,中国,海南,168,6,162,0,,,,,0,0,0,
03.26,中国,海南,168,6,162,0,,,,,0,0,0,
03.27,中国,海南,168,6,162,0,,,,,0,0,0,
03.28,中国,海南,168,6,162,0,,,,,0,0,0,
03.29,中国,海南,168,6,162,0,,,,,0,0,0,
03.30,中国,海南,168,6,162,0,,,,,0,0,0,
03.31,中国,海南,168,6,162,0,,,,,0,0,0,
04.01,中国,海南,168,6,162,0,,,,,0,0,0,
04.02,中国,海南,168,6,162,0,,,,,0,0,0,
04.03,中国,海南,168,6,162,0,,,,,0,0,0,
04.04,中国,海南,168,6,162,0,,,,,0,0,0,
04.05,中国,海南,168,6,162,0,,,,,0,0,0,
04.06,中国,海南,168,6,162,0,,,,,0,0,0,
04.07,中国,海南,168,6,162,0,,,,,0,0,0,
04.08,中国,海南,168,6,162,0,,,,,0,0,0,
04.09,中国,海南,168,6,162,0,,,,,0,0,0,
04.10,中国,海南,168,6,162,0,,,,,0,0,0,
04.11,中国,海南,168,6,162,0,,,,,0,0,0,
04.12,中国,海南,168,6,162,0,,,,,0,0,0,
04.13,中国,海南,168,6,162,0,,,,,0,0,0,
04.14,中国,海南,168,6,162,0,,,,,0,0,0,
04.15,中国,海南,168,6,162,0,,,,,0,0,0,
04.16,中国,海南,168,6,162,0,,,,,0,0,0,
04.17,中国,海南,168,6,162,0,,,,,0,0,0,
04.18,中国,海南,168,6,162,0,,,,,0,0,0,
04.19,中国,海南,168,6,162,0,,,,,0,0,0,
04.20,中国,海南,168,6,162,0,,,,,0,0,0,
04.21,中国,海南,168,6,162,0,,,,,0,0,0,
04.22,中国,海南,168,6,162,0,,,,,0,0,0,
04.23,中国,海南,168,6,162,0,,,,,0,0,0,
04.24,中国,海南,168,6,162,0,,,,,0,0,0,
04.25,中国,海南,168,6,162,0,,,,,0,0,0,
04.26,中国,海南,168,6,162,0,,,,,0,0,0,
04.27,中国,海南,168,6,162,0,,,,,0,0,0,
04.28,中国,海南,168,6,162,0,,,,,0,0,0,
04.29,中国,海南,168,6,162,0,,,,,0,0,0,
04.30,中国,海南,168,6,162,0,,,,,0,0,0,
05.01,中国,海南,168,6,162,0,,,,,0,0,0,
05.02,中国,海南,168,6,162,0,,,,,0,0,0,
05.03,中国,海南,168,6,162,0,,,,,0,0,0,
05.04,中国,海南,168,6,162,0,,,,,0,0,0,
05.05,中国,海南,168,6,162,0,,,,,0,0,0,
05.06,中国,海南,168,6,162,0,,,,,0,0,0,
05.07,中国,海南,168,6,162,0,,,,,0,0,0,
05.08,中国,海南,168,6,162,0,,,,,0,0,0,
05.09,中国,海南,168,6,162,0,,,,,0,0,0,
05.10,中国,海南,168,6,162,0,,,,,0,0,0,
05.11,中国,海南,168,6,162,0,,,,,0,0,0,
05.12,中国,海南,168,6,162,0,,,,,0,0,0,
05.13,中国,海南,168,6,162,0,,,,,0,0,0,
05.14,中国,海南,168,6,162,0,,,,,0,0,0,
05.15,中国,海南,169,6,162,1,,,,,1,0,0,
05.16,中国,海南,169,6,162,0,,,,,0,0,0,
05.17,中国,海南,169,6,162,0,,,,,0,0,0,
05.18,中国,海南,169,6,162,0,,,,,0,0,0,
05.19,中国,海南,169,6,162,0,,,,,0,0,0,
05.20,中国,海南,169,6,162,0,,,,,0,0,0,
05.21,中国,海南,169,6,162,0,,,,,0,0,0,
05.22,中国,海南,169,6,162,0,,,,,0,0,0,
05.23,中国,海南,169,6,162,0,,,,,0,0,0,
05.24,中国,海南,169,6,162,0,,,,,0,0,0,
05.25,中国,海南,169,6,162,0,,,,,0,0,0,
05.26,中国,海南,169,6,162,0,,,,,0,0,0,
05.27,中国,海南,169,6,162,0,,,,,0,0,0,
05.28,中国,海南,169,6,162,0,,,,,0,0,0,
05.29,中国,海南,169,6,162,0,,,,,0,0,0,
05.30,中国,海南,169,6,162,0,,,,,0,0,0,
05.31,中国,海南,169,6,162,0,,,,,0,0,0,
06.01,中国,海南,169,6,162,0,,,,,0,0,0,
06.02,中国,海南,169,6,162,0,,,,,0,0,0,
06.03,中国,海南,169,6,162,0,,,,,0,0,0,
06.04,中国,海南,169,6,162,0,,,,,0,0,0,
06.05,中国,海南,169,6,162,0,,,,,0,0,0,
06.06,中国,海南,170,6,162,1,,,,,1,0,0,海南省累计报告境外输入确诊病例1例。
06.07,中国,海南,170,6,162,0,,,,,0,0,0,海南省累计报告境外输入确诊病例1例。
06.08,中国,海南,169,6,162,0,,,,,0,0,0,海南省累计报告境外输入确诊病例1例。
06.09,中国,海南,169,6,162,0,,,,,0,0,0,海南省累计报告境外输入确诊病例1例。
06.10,中国,海南,170,6,162,0,,,,,0,0,0,海南省累计报告境外输入确诊病例1例。
06.11,中国,海南,170,6,162,0,,,,,0,0,0,海南省累计报告境外输入确诊病例1例。
06.12,中国,海南,171,6,162,1,,,,,1,0,0,海南省累计报告境外输入确诊病例2例。
06.13,中国,海南,171,6,162,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.14,中国,海南,171,6,163,0,,,,,0,1,0,海南省累计报告境外输入确诊病例2例。
06.15,中国,海南,171,6,163,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.16,中国,海南,171,6,163,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.17,中国,海南,171,6,163,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.18,中国,海南,171,6,163,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.19,中国,海南,171,6,163,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.20,中国,海南,171,6,163,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.21,中国,海南,171,6,163,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.22,中国,海南,171,6,163,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.23,中国,海南,171,6,163,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.24,中国,海南,171,6,163,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.25,中国,海南,171,6,165,0,,,,,0,2,0,海南省累计报告境外输入确诊病例2例。
06.26,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.27,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.28,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.29,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
06.30,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.01,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.02,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.03,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.04,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.05,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.06,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.07,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.08,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.09,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.10,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.11,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.12,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.13,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.14,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.15,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.16,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.17,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.18,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.19,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.20,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.21,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
07.22,中国,海南,171,6,165,0,,,,,0,0,0,海南省累计报告境外输入确诊病例2例。
