date,confirm_add,confirm,heal,dead
03.10,1,1,0,0
03.11,7,8,0,1
03.12,3,11,0,1
03.13,16,27,0,1
03.14,0,27,0,1
03.15,16,43,0,1
03.16,12,55,0,1
03.17,16,71,0,1
03.18,15,86,0,1
03.19,23,109,0,1
03.20,28,137,0,1
03.21,63,200,0,1
03.22,45,245,0,3
03.23,68,313,0,3
03.24,32,345,0,6
03.25,98,443,0,6
03.26,115,558,2,6
03.27,116,674,2,6
03.28,112,786,2,14
03.29,115,901,4,17
03.30,88,989,4,24
03.31,86,1075,9,27
04.01,106,1181,9,30
04.02,136,1317,9,32
04.03,158,1475,9,37
04.04,198,1673,10,41
04.05,128,1801,13,46
04.06,187,1988,13,54
04.07,112,2100,14,55
04.08,149,2249,16,59
04.09,279,2528,16,63
04.10,224,2752,16,66
04.11,222,2974,17,74
04.12,260,3234,23,79
04.13,166,3400,29,87
04.14,72,3472,61,94
04.15,102,3574,72,95
04.16,177,3751,75,103
04.17,265,4016,98,109
04.18,194,4210,122,116
04.19,63,4273,140,120
04.20,194,4467,165,126
04.21,191,4658,204,136
04.22,163,4821,231,141
04.23,171,4992,255,144
04.24,174,5166,271,146
04.25,172,5338,319,154
04.26,200,5538,338,159
04.27,241,5779,369,165
04.28,242,6021,455,167
04.29,179,6200,484,176
04.30,178,6378,527,178
05.01,154,6532,576,188
05.02,188,6720,622,192
05.03,0,6720,622,192
05.04,477,7197,641,200
05.05,190,7387,726,203
05.06,136,7523,823,210
05.07,208,7731,859,218
05.08,137,7868,886,225
05.09,202,8070,886,231
05.10,212,8282,4501,237
05.11,166,8448,4687,244
05.12,168,8616,4687,249
05.13,167,8783,6021,252
05.14,161,8944,6067,256
05.15,174,9118,6080,260
05.16,150,9268,6080,266
05.17,181,9449,6080,269
05.18,157,9606,6081,275
05.19,120,9726,6081,279
05.20,141,9867,6194,281
05.21,110,9977,6194,287
05.22,139,10116,6245,291
05.23,151,10267,6275,295
05.24,310,10577,6279,299
05.25,349,10926,6279,306
05.26,257,11183,6279,310
05.27,264,11447,6379,313
05.28,281,11728,7379,315
05.29,403,12131,7379,320
05.30,400,12531,7540,326
05.31,487,13018,9414,330
06.01,445,13463,9514,336
06.02,374,13837,9514,344
06.03,0,13837,9514,344
06.04,772,14609,9519,357
06.05,435,15044,9619,363
06.06,419,15463,9719,370
06.07,541,16004,10118,386
06.08,421,16425,10218,393
06.09,429,16854,10401,398
06.10,379,17233,10561,403
06.11,656,17889,10977,413
06.12,697,18586,10977,418
06.13,625,19211,13759,421
06.14,848,20059,13759,429
06.15,627,20686,13766,437
06.16,736,21422,13766,448
06.17,540,21962,13774,457
06.18,635,22597,13774,470
06.19,754,23351,13782,475
06.20,923,24274,14359,485
06.21,948,25222,14359,493
06.22,808,26030,14359,501
06.23,722,26752,14664,521
06.24,562,27314,14694,536
06.25,716,28030,14794,547
06.26,1007,29037,14800,564
06.27,868,29905,15270,575
06.28,753,30658,15370,592
06.29,1028,31686,15470,604
06.30,1099,32785,15595,620
07.01,765,33550,15745,631
07.02,913,34463,15945,645
07.03,774,35237,16445,667
07.04,758,35995,16945,698
07.05,988,36983,17761,720
07.06,1166,38149,17986,747
07.07,1185,39334,18036,770
07.08,957,40291,18726,799
07.09,960,41251,19469,819
07.10,965,42216,20437,839
07.11,1041,43257,21426,863
07.12,1075,44332,22170,893
07.13,1301,45633,23039,909
07.14,1540,47173,23919,932
07.15,923,48096,24667,960
07.16,1147,49243,25417,982
07.17,1130,50373,25842,1000
07.18,1035,51408,26520,1038
07.19,853,52261,27494,1071
07.20,1207,53468,28482,1096
07.21,958,54426,29164,1127
07.22,727,55153,30075,1159
