date,confirm_add,confirm,heal,dead
03.06,2,3,0,0
03.07,0,3,0,0
03.08,0,3,0,0
03.09,2,5,0,0
03.10,2,7,0,0
03.11,3,10,0,0
03.12,0,10,0,0
03.13,11,21,0,0
03.14,11,32,0,0
03.15,12,44,0,0
03.16,17,61,0,0
03.17,11,72,0,0
03.18,25,97,0,0
03.19,8,105,0,1
03.20,18,123,0,1
03.21,14,137,0,1
03.22,41,178,0,1
03.23,7,185,0,1
03.24,1,186,0,1
03.25,18,204,7,1
03.26,12,216,7,1
03.27,53,269,7,1
03.28,23,292,2,0
03.29,22,314,7,1
03.30,22,336,2,0
03.31,27,363,3,0
04.01,37,400,3,1
04.02,26,426,5,1
04.03,24,450,10,1
04.04,21,471,10,1
04.05,14,485,10,1
04.06,49,534,8,1
04.07,47,581,13,2
04.08,101,682,13,2
04.09,19,701,23,2
04.10,14,715,23,2
04.11,13,728,23,2
04.12,14,742,23,2
04.13,27,769,107,2
04.14,66,835,113,2
04.15,28,863,151,6
04.16,114,977,167,8
04.17,72,1049,167,8
04.18,40,1089,213,11
04.19,72,1161,229,12
04.20,12,1173,251,13
04.21,26,1199,258,14
04.22,45,1244,284,14
04.23,81,1325,288,15
04.24,35,1360,355,17
04.25,13,1373,386,17
04.26,6,1379,394,18
04.27,2,1381,403,18
04.28,3,1384,423,20
04.29,7,1391,484,22
04.30,5,1396,524,23
05.01,7,1403,558,23
05.02,4,1407,608,24
05.03,0,1407,608,24
05.04,6,1413,643,25
05.05,8,1421,741,25
05.06,8,1429,762,25
05.07,16,1445,806,26
05.08,10,1455,905,26
05.09,0,1455,919,26
05.10,2,1457,941,26
05.11,0,1457,959,26
05.12,8,1465,983,27
05.13,4,1469,1060,27
05.14,8,1477,1112,27
05.15,3,1480,1131,27
05.16,13,1493,1151,28
05.17,1,1494,1163,28
05.18,1,1495,1185,28
05.19,0,1495,1192,28
05.20,1,1496,1231,28
05.21,6,1502,1245,28
05.22,1,1503,1256,28
05.23,1,1504,1280,28
05.24,5,1509,1301,28
05.25,2,1511,1307,28
05.26,2,1513,1322,28
05.27,2,1515,1327,28
05.28,5,1520,1332,28
05.29,0,1520,1338,28
05.30,1,1521,1356,28
05.31,0,1521,1366,28
06.01,1,1522,1368,28
06.02,0,1522,1372,28
06.03,0,1522,1372,28
06.04,4,1526,1376,28
06.05,0,1526,1379,28
06.06,2,1528,1379,28
06.07,0,1528,1389,28
06.08,2,1530,1396,28
06.09,1,1531,1402,28
06.10,2,1533,1404,28
06.11,8,1541,1409,28
06.12,1,1542,1409,28
06.13,3,1545,1410,28
06.14,3,1548,1410,28
06.15,4,1552,1410,28
06.16,0,1552,1426,28
06.17,9,1561,1437,28
06.18,1,1562,1443,28
06.19,14,1576,1447,28
06.20,10,1586,1447,28
06.21,1,1587,1447,28
06.22,1,1588,1447,28
06.23,1,1589,1448,28
06.24,18,1607,1448,28
06.25,23,1630,1452,28
06.26,13,1643,1455,28
06.27,14,1657,1455,28
06.28,7,1664,1461,28
06.29,1,1665,1464,28
06.30,2,1667,1464,28
07.01,20,1687,1466,28
07.02,13,1700,1466,28
07.03,20,1720,1466,28
07.04,29,1749,1466,28
07.05,15,1764,1466,28
07.06,1,1765,1466,28
07.07,2,1767,1473,28
07.08,31,1798,1473,28
07.09,53,1851,1477,28
07.10,19,1870,1481,28
07.11,23,1893,1493,28
07.12,8,1901,1493,28
07.13,1,1902,1493,28
07.14,6,1908,1493,28
07.15,19,1927,1507,28
07.16,24,1951,1514,28
07.17,14,1965,1523,28
07.18,11,1976,1523,28
07.19,3,1979,1530,28
07.20,1,1980,1538,28
07.21,41,2021,1538,28
07.22,37,2058,1556,28
