date,confirm_add,confirm,heal,dead
03.01,1,1,0,0
03.02,0,1,0,0
03.03,0,1,0,0
03.04,1,2,0,0
03.05,4,6,0,0
03.06,7,13,0,0
03.07,5,18,0,0
03.08,1,19,0,0
03.09,2,21,0,0
03.10,3,24,0,0
03.11,10,34,0,0
03.12,9,43,0,1
03.13,27,70,0,1
03.14,20,90,0,1
03.15,39,129,0,2
03.16,40,169,0,2
03.17,54,223,0,2
03.18,69,292,0,2
03.19,74,366,0,2
03.20,191,557,5,3
03.21,126,683,5,3
03.22,102,785,5,3
03.23,121,906,5,4
03.24,219,1125,5,6
03.25,204,1329,5,7
03.26,235,1564,5,9
03.27,255,1819,5,19
03.28,302,2121,5,22
03.29,294,2415,5,36
03.30,200,2615,5,46
03.31,295,2910,5,54
04.01,325,3235,5,71
04.02,212,3447,5,85
04.03,402,3849,5,98
04.04,424,4273,25,120
04.05,331,4604,25,137
04.06,390,4994,25,158
04.07,370,5364,25,174
04.08,345,5709,25,210
04.09,365,6074,25,235
04.10,500,6574,25,263
04.11,1515,8089,25,287
04.12,839,8928,25,320
04.13,727,9655,25,334
04.14,992,10647,25,365
04.15,832,11479,77,406
04.16,1068,12547,77,444
04.17,724,13271,77,486
04.18,709,13980,77,530
04.19,778,14758,77,571
04.20,493,15251,77,610
04.21,401,15652,77,687
04.22,388,16040,9233,730
04.23,631,16671,9233,769
04.24,936,17607,9233,794
04.25,577,18184,9233,1014
04.26,377,18561,9233,1063
04.27,701,19262,9233,1087
04.28,386,19648,9233,1102
04.29,229,19877,9233,1159
04.30,376,20253,13386,1190
05.01,359,20612,13386,1232
05.02,221,20833,13386,1265
05.03,343,21176,13386,1286
05.04,330,21506,13386,1303
05.05,266,21772,13386,1319
05.06,211,21983,13386,1339
05.07,265,22248,17110,1375
05.08,137,22385,17110,1403
05.09,156,22541,17110,1429
05.10,219,22760,17110,1446
05.11,236,22996,17110,1458
05.12,139,23135,17110,1467
05.13,107,23242,17110,1488
05.14,159,23401,19470,1497
05.15,426,23827,19470,1506
05.16,129,23956,19470,1518
05.17,92,24048,19470,1533
05.18,64,24112,19470,1543
05.19,88,24200,19470,1547
05.20,51,24251,19470,1561
05.21,64,24315,21060,1571
05.22,76,24391,21060,1583
05.23,115,24506,21060,1592
05.24,76,24582,21060,1604
05.25,57,24639,21060,1608
05.26,59,24698,21060,1606
05.27,37,24735,21060,1615
05.28,68,24803,22089,1631
05.29,38,24841,22089,1639
05.30,35,24876,22089,1645
05.31,53,24929,22089,1651
06.01,61,24990,22089,1652
06.02,72,25062,22089,1650
06.03,4,25066,22089,1658
06.04,45,25111,22698,1659
06.05,31,25142,22698,1664
06.06,21,25163,22698,1670
06.07,20,25183,22698,1678
06.08,18,25201,22698,1679
06.09,6,25207,22698,1683
06.10,8,25215,22698,1691
06.11,16,25231,22698,1695
06.12,7,25238,22698,1703
06.13,12,25250,22698,1705
06.14,45,25295,22698,1705
06.15,8,25303,22698,1706
06.16,18,25321,22698,1706
06.17,13,25334,22698,1709
06.18,7,25341,22698,1710
06.19,14,25355,22698,1714
06.20,13,25368,22698,1714
06.21,6,25374,22698,1715
06.22,5,25379,22698,1715
06.23,4,25383,22698,1717
06.24,8,25391,22698,1720
06.25,5,25396,23364,1726
06.26,9,25405,23364,1727
06.27,9,25414,23364,1730
06.28,23,25437,23364,1734
06.29,2,25439,23364,1735
06.30,23,25462,23364,1735
07.01,11,25473,23364,1736
07.02,4,25477,23364,1738
07.03,12,25489,23364,1738
07.04,9,25498,23364,1740
07.05,11,25509,23364,1741
07.06,18,25527,23364,1741
07.07,4,25531,23364,1741
07.08,7,25538,23364,1742
07.09,4,25542,23364,1738
07.10,23,25565,23364,1743
07.11,24,25589,23364,1744
07.12,22,25611,23364,1746
07.13,17,25628,23364,1746
07.14,10,25638,23364,1746
07.15,32,25670,23364,1746
07.16,13,25683,23364,1748
07.17,15,25698,23364,1749
07.18,32,25730,23364,1752
07.19,20,25750,23364,1753
07.20,10,25760,23364,1753
07.21,6,25766,23364,1753
07.22,36,25802,23364,1753
