date,confirm_add,confirm,heal,dead
03.25,2,2,0,0
03.26,0,2,0,0
03.27,2,4,0,0
03.28,14,18,0,0
03.29,0,18,0,1
03.30,7,25,0,2
03.31,3,28,0,2
04.01,3,31,0,3
04.02,0,31,0,3
04.03,5,36,0,3
04.04,5,41,1,3
04.05,0,41,1,3
04.06,6,47,1,5
04.07,9,56,12,5
04.08,0,56,12,5
04.09,3,59,16,7
04.10,28,87,22,7
04.11,0,87,22,7
04.12,18,105,22,9
04.13,18,123,26,10
04.14,0,123,26,10
04.15,25,148,34,13
04.16,0,148,34,13
04.17,23,171,34,13
04.18,45,216,41,13
04.19,0,216,41,13
04.20,8,224,42,14
04.21,34,258,57,14
04.22,35,293,73,17
04.23,0,293,73,17
04.24,16,309,77,21
04.25,16,325,87,21
04.26,45,370,91,21
04.27,19,389,112,23
04.28,19,408,113,23
04.29,16,424,122,24
04.30,58,482,129,25
05.01,8,490,135,26
05.02,18,508,196,26
05.03,36,544,206,26
05.04,36,580,223,29
05.05,32,612,228,32
05.06,19,631,261,32
05.07,0,631,261,32
05.08,19,650,271,32
05.09,42,692,298,37
05.10,0,692,298,37
05.11,12,704,351,38
05.12,8,712,377,39
05.13,18,730,398,40
05.14,28,758,412,44
05.15,21,779,436,46
05.16,27,806,455,46
05.17,54,860,494,52
05.18,14,874,512,52
05.19,0,874,512,52
05.20,27,901,529,53
05.21,30,931,543,55
05.22,16,947,558,60
05.23,22,969,560,62
05.24,61,1030,597,65
05.25,29,1059,604,67
05.26,18,1077,617,70
05.27,0,1077,617,70
05.28,39,1116,632,70
05.29,78,1194,652,72
05.30,56,1250,696,76
05.31,15,1265,716,77
06.01,0,1265,716,77
06.02,86,1351,769,78
06.03,0,1351,769,78
06.04,35,1386,788,79
06.05,75,1461,806,85
06.06,24,1485,816,87
06.07,48,1533,873,90
06.08,14,1547,916,92
06.09,0,1547,916,92
06.10,39,1586,931,94
06.11,81,1667,948,96
06.12,85,1752,1023,101
06.13,24,1776,1058,104
06.14,0,1776,1058,104
06.15,84,1860,1125,104
06.16,0,1860,1125,104
06.17,30,1890,1168,107
06.18,16,1906,1192,107
06.19,17,1923,1217,108
06.20,0,1923,1217,108
06.21,10,1933,1255,109
06.22,28,1961,1266,111
06.23,17,1978,1302,111
06.24,23,2001,1333,112
06.25,4,2005,1354,112
06.26,34,2039,1383,113
06.27,21,2060,1387,113
06.28,58,2118,1398,113
06.29,29,2147,1432,114
06.30,26,2173,1447,115
07.01,8,2181,1474,116
07.02,21,2202,1483,116
07.03,58,2260,1502,117
07.04,25,2285,1507,117
07.05,18,2303,1516,118
07.06,27,2330,1527,119
07.07,1,2331,1547,119
07.08,17,2348,1556,119
07.09,10,2358,1597,120
07.10,12,2370,1621,120
07.11,34,2404,1650,121
07.12,2,2406,1683,121
07.13,6,2412,1730,121
07.14,11,2423,1748,121
07.15,0,2423,1748,121
07.16,10,2433,1764,121
07.17,34,2467,1791,121
07.18,5,2472,1809,121
07.19,0,2472,1809,121
07.20,3,2475,1851,121
07.21,0,2475,1851,121
07.22,2,2477,1856,122
